",""Id"",""Fuente"",""Fecha_Registro"",""Seccion"",""Titulo"",""Fecha_Dia"",""Dia""";;;;;;;
"8669,""85613"",""EMOL"",""2016-10-03 10:06:12"",""Deportes"",""El extraordinario golazo que marco Dimitri Payet y por el que fue comparado con Lionel Messi ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8670,""85614"",""EMOL"",""2016-10-03 10:11:04"",""Deportes"",""Chile tendra un cupo mas para la Copa Libertadores desde el 2017 tras modificacion de reglamento ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8671,""85615"",""EMOL"",""2016-10-03 10:12:06"",""Espectaculos"",""Lindsay Lohan pierde parte de su dedo anular tras accidente en barco ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8672,""85616"",""EMOL"",""2016-10-03 10:13:08"",""Nacional"",""El optimismo de Bachelet ante baja en las encuestas: En la calle ";me paso encontrando con el 15; ;" Emol.com"",2016-10-03,""lunes""";;;;
"8673,""85617"",""EMOL"",""2016-10-03 10:16:04"",""Tecnologia"",""Nuevo ";robot de compania; tiene la inteligencia de un nino de cinco anos ;" Emol.com"",2016-10-03,""lunes""";;;;
"8674,""85618"",""EMOL"",""2016-10-03 10:21:05"",""Economia"",""Cobre abre con perdidas en una semana marcada por el cierre de los mercados en China ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8675,""85619"",""LA TERCERA"",""2016-10-03 10:21:22"",""politica"",""Libro de educacion sexual: UDI presenta requerimiento por posibles irregularidades en licitacion"",2016-10-03,""lunes""";;;;;;;
"8676,""85620"",""DF"",""2016-10-03 10:21:27"",""Empresas"",""Mega imbatible: ahora supera a la BBC como el mejor canal para trabajar"",2016-10-03,""lunes""";;;;;;;
"8677,""85621"",""EMOL"",""2016-10-03 10:31:04"",""Nacional"",""Parte juicio contra seleccionado de basquetbol acusado de violar a menor de edad en juegos Odesur ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8678,""85622"",""EMOL"",""2016-10-03 10:32:07"",""Espectaculos"",""George R.R. Martin pospone el lanzamiento del sexto tomo de ";Cancion de hielo y fuego; ;" Emol.com"",2016-10-03,""lunes""";;;;
